Kode Cabang|No Anggota|No Pemesanan|No PO|Tgl Pemesanan|Kode Alamat|Kode PLU|Satuan|Harga (Rp)|Jml Pesanan|Bebas Biaya Pengiriman|Nama Penerima|Nama WP|NPWP|Alamat WP
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|0000850|CTN|118500|4|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|0010160|CTN|165600|4|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|0049560|CTN|118400|2|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|0075480|CTN|138400|2|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|0077812|PCS|11100|24|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|0209370|CTN|519900|1|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|0345860|CTN|210000|2|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|0410793|BOX|61900|1|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|0412032|PCS|16200|10|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|0878652|PCS|4100|6|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1116482|PCS|7500|15|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1152482|PCS|7500|8|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1152492|PCS|7500|10|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1155040|CTN|376800|1|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1163742|PCS|16600|5|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1163752|PCS|15700|8|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1226600|CTN|104700|1|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1235462|PCS|4350|7|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1246902|PCS|4350|5|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1280320|CTN|138400|2|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1326642|PCS|8900|10|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1341483|BOX|68000|1|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1352230|CTN|168000|1|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1359152|PCS|8400|12|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1365202|PCS|7950|10|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1498842|PCS|7000|12|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1519383|BOX|60500|1|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1519393|BOX|68000|1|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1555112|PCS|4200|6|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1555122|PCS|4200|9|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1555132|PCS|4200|12|Y|Koperasi Kanitra|||
01|A28574/web/bln/tgl|000619/omm/04/2018|NO-PO-001218|05/04/2018|Jalan Bekasi timur IV, rt 4/7, cipinang besar utar,Cakung Barat,Cakung,Kota Jakarta Timur,DKI Jakarta,13910|1555142|PCS|4200|8|Y|Koperasi Kanitra|||
